Attr4,Attr5,Attr9,Attr12,Attr18,Attr21,Attr23,Attr24,Attr27,Attr29,Attr33,Attr35,Attr36,Attr38,Attr40,Attr43,Attr45,Attr47,Attr48,Attr49,Attr50,Attr51,Attr52,Attr56,Attr58,Attr59,Attr60,Attr61,Attr63,Attr64,class
1.8368,34.382,1.0667,-0.1564556369873694,-0.020067,1.0853,-0.02302240554982657,-0.019018,0.13691,4.5645,4.9315,0.0086596,0.6944600000000001,0.84898,0.026591000000000004,125.61,-0.4962,28.56,-0.028702,-0.026907284147370394,0.78396,0.12826,0.20278,0.062497000000000004,0.9375,0.28816514710445823,13.632,3.693,8.316700452206454,0.8826,0
1.655471684,29.678,1.1185,4547.600062402555,0.76052,1.0479,0.5714617791685291,0.60072,1.0119,1.2218,4.4510000000000005,0.7604,1.1185,1.0,0.17713,9.6341,0.23540999999999998,0.0,0.7604,0.679839070183281,48750.02214807951,0.0,0.0,0.67983,0.32014000000000004,0.0,9.5619,37.885999999999996,6688.174761738362,4.01995,0
1.4678,34.555,1.5186,-1.0706113823507981,-0.44076000000000004,0.5004,-0.2902410114579218,0.7447,-37.147,2.9728,4.7606,-0.4413,1.5186,0.58832,0.029664999999999997,142.31,0.23540999999999998,0.0,-0.5050399999999999,-0.33256947188199654,1.2662,0.41168999999999994,0.21006,-0.29059,1.2871,0.12537062187960307,9.5619,2.5649,3.6886978066020553,3.8376,0
4.5944,117.65,1.1263,0.8413937439900447,0.14875,0.97491,0.10611737547722631,0.31527,1.0209,5.4536,8.0308,0.14495,1.622,0.81017,2.7023,76.354,0.66747,46.033,0.083425,0.07406996359762053,4.5944,0.17679,0.12452,0.11210999999999999,0.88789,0.0160953873878322,8.9302,10.287,6.370835454494032,8.5169,0
2.5745,-26.928,0.80411,1.873235703399377,0.28269,1.4416,0.28652796259218266,0.61655,173.05,7.2973,3.4578,0.36955,0.80411,0.84909,1.1024,100.84,2.2714,70.95,0.2533,0.3150066533185758,1.4339,0.15091,0.2892,0.45957,0.6232,0.1646526301351073,7.9274,6.6605,5.328407660194818,1.315,0
1.0406,-39.998000000000005,1.9155,0.32859450726979,0.15255,1.0724,0.07963978073610023,0.22983,0.0,4.0682,3.3608,0.008557500000000001,1.9155,0.52989,0.018452,90.425,0.8310799999999999,42.94,-0.022206,-0.011592795614722004,1.0277,0.46425,0.29755,0.18545,0.8196399999999999,0.011058899016777085,10.436,6.5827,4.126009693053312,3.7058,0
3.0936,52.16,1.5236,0.1844546178343949,0.037068,0.9688399999999999,0.023846153846153847,0.11615,2.9467,5.0539999999999985,7.289,0.058786,1.5236,0.74608,1.0983,96.06299999999999,0.16887,53.608999999999995,-0.04767,-0.03128773956419007,2.4484,0.20096,0.13719,0.038584,0.9765,0.07098434484237624,7.0818,8.1981,7.581608280254778,4.0276,0
2.3229,18.308,1.1986,0.7208013851100668,0.14570999999999998,1.3816,0.09817286834640414,0.1902,1.8232,4.9982,3.6177,0.13334,0.8889100000000001,0.79785,0.6139,143.86,0.64144,91.56,0.11556,0.09641248122809944,1.2578,0.20215,0.27642,0.16567,0.8343299999999999,0.27313780557860473,4.7780000000000005,5.4098,5.929260450160772,1.6525,0
1.0006,-64.815,1.0484,0.0761406644238856,0.043455,1.5275,0.03283670354826402,-0.0050601000000000005,0.48136,4.7943,1.9119,0.052525,1.1552,0.42759,0.0046148000000000005,181.37,0.18865,61.042,-0.023046,-0.021982067913010304,0.67523,0.57072,0.52303,0.046133999999999994,0.9538700000000001,1.813843733613004,6.2687,2.964,1.836977852537146,2.667,0
0.9871200000000001,-98.196,2.1387,-0.1454442853709258,-0.13918,0.85659,-0.06507691588348062,-0.14795,-5.466,3.2373,2.3077,-0.06964400000000001,2.1387,0.004454,0.028436000000000003,156.57,-0.24313,94.615,-0.13946,-0.06520783653621358,0.9488399999999999,0.95693,0.43333,-0.032563999999999996,1.0615,8.669959586888222,3.7361,6.1997,2.234959714921677,38.613,0
